county,year,confirmed_victims,poverty_rate
Roberts,2019,4,7.4
Robertson,2019,42,20.7
Rockwall,2019,211,4.8
Runnels,2019,26,17.2
Rusk,2019,193,15.4
Sabine,2019,20,17.6
"San Augustine",2019,13,22.5
"San Jacinto",2019,81,16.8
"San Patricio",2019,286,14.4
"San Saba",2019,21,20.7
Schleicher,2019,4,15
Scurry,2019,68,14.7
Shackelford,2019,4,12.7
Shelby,2019,55,21.4
Sherman,2019,3,11.1
Smith,2019,552,12.9
Somervell,2019,21,9.4
Starr,2019,155,32.5
Stephens,2019,36,17
Stonewall,2019,4,15.1
Sutton,2019,21,13.1
Swisher,2019,30,20.6
Taylor,2019,862,14
Terry,2019,61,21.6
Throckmorton,2019,1,13.9
Titus,2019,119,16.3
"Tom Green",2019,408,12.9
Trinity,2019,66,17.9
Tyler,2019,75,17.2
Upshur,2019,181,14.9
Upton,2019,11,13.8
Uvalde,2019,89,19.8
"Val Verde",2019,115,20.8
"Van Zandt",2019,199,13.6
Victoria,2019,271,14.3
Walker,2019,101,21.4
Waller,2019,42,13.2
Ward,2019,67,12.4
Washington,2019,73,10.6
Webb,2019,602,20.9
Wharton,2019,81,16.4
Wheeler,2019,15,11.6
Wichita,2019,485,13.9
Wilbarger,2019,55,14.9
Willacy,2019,89,30.5
Williamson,2019,693,5.4
Wilson,2019,90,8.3
Winkler,2019,10,12.5
Wise,2019,204,8.3
Wood,2019,126,14.3
Yoakum,2019,12,10.6
Young,2019,64,13.6
Zapata,2019,43,30.1
Zavala,2019,63,29.6
Anderson,2020,183,20.9
Andrews,2020,66,9.2
Angelina,2020,291,17
Aransas,2020,120,17.1
Archer,2020,17,6.9
Atascosa,2020,240,14.9
Austin,2020,47,11.4
Bailey,2020,24,14.4
Bandera,2020,48,11
Bastrop,2020,281,10.8
Baylor,2020,20,15.3
Bee,2020,92,23.1
Blanco,2020,18,9.8
Bosque,2020,74,12.5
Bowie,2020,233,17.4
Brazoria,2020,634,8.3
Brazos,2020,480,22.3
Brewster,2020,11,14
Briscoe,2020,2,13.4
Brooks,2020,53,28.7
Brown,2020,293,15.6
Burleson,2020,53,13.1
Burnet,2020,159,9.5
Caldwell,2020,164,12.7
Calhoun,2020,55,12.4
Callahan,2020,45,12.2
Camp,2020,39,16.7
Carson,2020,22,8.3
Cass,2020,106,17.7
Castro,2020,16,15.3
Chambers,2020,56,9.3
Cherokee,2020,244,16.7
Childress,2020,26,21.4
Clay,2020,25,11.1
Cochran,2020,4,19.2
Coke,2020,3,11.4
Coleman,2020,54,16
Collingsworth,2020,10,16.9
Colorado,2020,28,12.7
Comal,2020,357,7.5
Comanche,2020,30,15.9
Concho,2020,12,13.5
Cooke,2020,210,11.3
Coryell,2020,422,12.7
Cottle,2020,3,17.9
Crane,2020,8,9
Crockett,2020,9,12.4
Crosby,2020,15,19.8
Culberson,2020,17,18.6
Dallam,2020,35,11.1
Dawson,2020,55,18.7
"Deaf Smith",2020,64,15.5
Delta,2020,16,14.3
DeWitt,2020,31,20.5
Dickens,2020,4,18.9
Dimmit,2020,41,25.5
Donley,2020,14,16.3
Duval,2020,39,20
Eastland,2020,56,17
Ector,2020,373,13.6
Edwards,2020,1,19.1
Ellis,2020,336,7.9
Erath,2020,179,12.6
Falls,2020,98,20
Fannin,2020,117,15.4
Fayette,2020,47,9.4
Fisher,2020,23,13.3
Floyd,2020,11,17.7
Foard,2020,3,16.8
"Fort Bend",2020,498,7.4
